template_name,category,cash_flow_category,template_type,description,is_favorite,is_system,active,version,usage_count,last_used_at
Pendapatan Jasa Training,INCOME,OPERATING,SIMPLE,Mencatat pendapatan dari jasa training,false,false,true,1,0,
Pendapatan Jasa Konsultasi,INCOME,OPERATING,SIMPLE,Mencatat pendapatan dari jasa konsultasi/development,false,false,true,1,0,
Terima DP Proyek,RECEIPT,OPERATING,SIMPLE,Mencatat penerimaan uang muka (DP) dari klien,false,false,true,1,0,
Pengakuan Pendapatan Proyek,INCOME,OPERATING,SIMPLE,Mengakui pendapatan dari DP saat milestone selesai,false,false,true,1,0,
Terima Pelunasan Piutang,RECEIPT,OPERATING,SIMPLE,Mencatat penerimaan pembayaran dari klien,false,false,true,1,0,
Escrow: Terima Dana User,RECEIPT,OPERATING,SIMPLE,User deposit dana untuk transfer remittance,false,false,true,1,0,
Escrow: Settlement ke Penerima,PAYMENT,OPERATING,SIMPLE,"Settlement dana ke penerima, fee diakui sebagai pendapatan",false,false,true,1,0,
Escrow: Transfer Fee ke Operasional,TRANSFER,OPERATING,SIMPLE,Transfer accumulated fee dari escrow ke rekening operasional,false,false,true,1,0,
Bayar Beban Gaji,EXPENSE,OPERATING,SIMPLE,Pembayaran gaji karyawan,false,false,true,1,0,
Accrual Gaji Bulan Berjalan,EXPENSE,OPERATING,SIMPLE,Akrual gaji akhir bulan (belum dibayar),false,false,true,1,0,
Bayar BPJS,EXPENSE,OPERATING,SIMPLE,Pembayaran BPJS Kesehatan dan Ketenagakerjaan,false,false,true,1,0,
Bayar Beban Cloud & Server,EXPENSE,OPERATING,SIMPLE,"Pembayaran cloud/server untuk aplikasi sendiri (AWS, GCP, dll)",false,false,true,1,0,
Accrual Beban Cloud,EXPENSE,OPERATING,SIMPLE,Akrual beban cloud yang belum ditagih (akhir bulan),false,false,true,1,0,
Bayar Cloud Klien (Reimbursable),PAYMENT,OPERATING,SIMPLE,Bayar cloud untuk klien yang akan direimbursement,false,false,true,1,0,
Terima Reimbursement dari Klien,RECEIPT,OPERATING,SIMPLE,Klien mengganti biaya yang sudah dibayarkan,false,false,true,1,0,
Bayar Beban Software & Lisensi,EXPENSE,OPERATING,SIMPLE,"Pembayaran software, SaaS, lisensi",false,false,true,1,0,
Bayar Beban Telekomunikasi,EXPENSE,OPERATING,SIMPLE,Pembayaran telepon dan internet,false,false,true,1,0,
Bayar Beban Listrik,EXPENSE,OPERATING,SIMPLE,Pembayaran listrik kantor,false,false,true,1,0,
Bayar Beban Sewa,EXPENSE,OPERATING,SIMPLE,Pembayaran sewa kantor,false,false,true,1,0,
Karyawan Reimburse Pengeluaran,EXPENSE,OPERATING,SIMPLE,"Karyawan bayar duluan, perusahaan akan ganti",false,false,true,1,0,
Bayar Reimbursement ke Karyawan,PAYMENT,OPERATING,SIMPLE,Ganti biaya yang sudah dibayar karyawan,false,false,true,1,0,
Bayar Tunjangan Kesehatan,EXPENSE,OPERATING,SIMPLE,Reimbursement biaya kesehatan karyawan,false,false,true,1,0,
Bayar Team Building / Outing,EXPENSE,OPERATING,SIMPLE,Pembayaran kegiatan rekreasi karyawan,false,false,true,1,0,
Transfer Antar Bank,TRANSFER,OPERATING,SIMPLE,Transfer dana antar rekening bank,false,false,true,1,0,
Setoran Modal,RECEIPT,FINANCING,SIMPLE,Setoran modal dari pemilik,false,false,true,1,0,
Prive / Pengambilan Pribadi,PAYMENT,FINANCING,SIMPLE,Pengambilan dana oleh pemilik,false,false,true,1,0,
Beban Admin Bank,EXPENSE,OPERATING,SIMPLE,Potongan biaya administrasi bank,false,false,true,1,0,
Pendapatan Bunga Bank,INCOME,OPERATING,SIMPLE,Bunga dari rekening bank,false,false,true,1,0,
Penyusutan Peralatan,EXPENSE,OPERATING,SIMPLE,Jurnal penyesuaian penyusutan bulanan,false,false,true,1,0,
Amortisasi Aset Tak Berwujud,EXPENSE,OPERATING,SIMPLE,Jurnal penyesuaian amortisasi bulanan,false,false,true,1,0,
Pendapatan Jasa Training dengan PPN,INCOME,OPERATING,SIMPLE,Pendapatan training dengan PPN 11% (amount = DPP + PPN),false,false,true,1,0,
Pendapatan Jasa Konsultasi dengan PPN,INCOME,OPERATING,SIMPLE,Pendapatan konsultasi dengan PPN 11% (amount = DPP + PPN),false,false,true,1,0,
Pendapatan Jasa dengan PPh 23,INCOME,OPERATING,SIMPLE,Pendapatan jasa yang dipotong PPh 23 (2%) oleh pemberi kerja. Amount = nilai bruto,false,false,true,1,0,
Pendapatan Jasa dengan PPN dan PPh 23,INCOME,OPERATING,SIMPLE,Pendapatan jasa PKP dengan PPN 11% dan dipotong PPh 23 (2% dari DPP). Amount = DPP + PPN,false,false,true,1,0,
Pembelian dengan PPN,EXPENSE,OPERATING,SIMPLE,Pembelian barang/jasa dengan PPN Masukan 11%. Amount = DPP + PPN,false,false,true,1,0,
Pembayaran Jasa dengan PPh 23,EXPENSE,OPERATING,SIMPLE,Pembayaran jasa ke vendor dengan pemotongan PPh 23 (2%). Amount = nilai bruto,false,false,true,1,0,
Pembayaran Sewa dengan PPh 4(2),EXPENSE,OPERATING,SIMPLE,Pembayaran sewa tanah/bangunan dengan pemotongan PPh Final 4(2) 10%,false,false,true,1,0,
Setor PPh 21,PAYMENT,OPERATING,SIMPLE,Penyetoran PPh 21 karyawan ke kas negara,false,false,true,1,0,
Setor PPh 23,PAYMENT,OPERATING,SIMPLE,Penyetoran PPh 23 yang telah dipotong ke kas negara,false,false,true,1,0,
Setor PPh 4(2),PAYMENT,OPERATING,SIMPLE,Penyetoran PPh 4(2) Final yang telah dipotong ke kas negara,false,false,true,1,0,
Setor PPN,PAYMENT,OPERATING,SIMPLE,Penyetoran PPN (Keluaran - Masukan) ke kas negara,false,false,true,1,0,
Bayar PPh 25,EXPENSE,OPERATING,SIMPLE,Pembayaran angsuran PPh Badan bulanan,false,false,true,1,0,
Post Gaji Bulanan,EXPENSE,OPERATING,SIMPLE,"Template sistem untuk posting payroll bulanan. Variabel: grossSalary, companyBpjs, netPay, totalBpjs, pph21",false,true,true,1,0,
Bayar Hutang Gaji,PAYMENT,OPERATING,SIMPLE,Pembayaran hutang gaji ke karyawan (transfer gaji bulanan),false,false,true,1,0,
Bayar Hutang BPJS,PAYMENT,OPERATING,SIMPLE,Penyetoran BPJS ke BPJS Kesehatan dan Ketenagakerjaan,false,false,true,1,0,
Pembelian Peralatan,EXPENSE,INVESTING,SIMPLE,"Pembelian aset tetap (komputer, laptop, peralatan kantor)",false,false,true,1,0,
Penjualan Aset Tetap (Laba),INCOME,INVESTING,SIMPLE,"Penjualan aset dengan laba. Variables: hargaJual, nilaiPerolehan, akumPenyusutan",false,false,true,1,0,
Penjualan Aset Tetap (Rugi),EXPENSE,INVESTING,SIMPLE,"Penjualan aset dengan rugi. Variables: hargaJual, nilaiPerolehan, akumPenyusutan",false,false,true,1,0,
Bayar Bonus Karyawan,PAYMENT,OPERATING,SIMPLE,Pembayaran bonus dari hutang bonus yang sudah diakrual,false,false,true,1,0,
Accrual Bonus Karyawan,EXPENSE,OPERATING,SIMPLE,"Akrual bonus karyawan (diakui sebagai beban, belum dibayar)",false,false,true,1,0,
Beli Deposito,EXPENSE,INVESTING,SIMPLE,Penempatan deposito berjangka di bank,false,false,true,1,0,
Cairkan Deposito,INCOME,INVESTING,SIMPLE,"Pencairan deposito dengan bunga. Variables: pokok, bunga",false,false,true,1,0,
Beli Logam Mulia,EXPENSE,INVESTING,SIMPLE,"Pembelian emas batangan (Antam, UBS, dll)",false,false,true,1,0,
Jual Logam Mulia (Laba),INCOME,INVESTING,SIMPLE,"Penjualan emas dengan laba. Variables: hasilPenjualan, nilaiPerolehan",false,false,true,1,0,
Jual Logam Mulia (Rugi),EXPENSE,INVESTING,SIMPLE,"Penjualan emas dengan rugi. Variables: hasilPenjualan, nilaiPerolehan",false,false,true,1,0,
Beli Dinar/Dirham,EXPENSE,INVESTING,SIMPLE,Pembelian koin emas dinar atau perak dirham,false,false,true,1,0,
Jual Dinar/Dirham (Laba),INCOME,INVESTING,SIMPLE,"Penjualan dinar/dirham dengan laba. Variables: hasilPenjualan, nilaiPerolehan",false,false,true,1,0,
Jual Dinar/Dirham (Rugi),EXPENSE,INVESTING,SIMPLE,"Penjualan dinar/dirham dengan rugi. Variables: hasilPenjualan, nilaiPerolehan",false,false,true,1,0,
Pembelian Aset Tetap,EXPENSE,INVESTING,SIMPLE,Template untuk mencatat pembelian aset tetap. Variabel: assetCost,false,true,true,1,0,
Penyusutan Aset Tetap,EXPENSE,OPERATING,SIMPLE,Template untuk mencatat penyusutan aset tetap bulanan. Variabel: depreciationAmount,false,true,true,1,0,
Pelepasan Aset Tetap,INCOME,INVESTING,DETAILED,"Template untuk mencatat pelepasan/penjualan aset tetap. Variabel: bookValue, accumulatedDepreciation, assetCost, disposalProceeds, gainLoss",false,true,true,1,0,
Isi BBM Kendaraan (Karyawan Bayar),EXPENSE,OPERATING,SIMPLE,"Karyawan isi BBM kendaraan kantor, perusahaan akan ganti",false,false,true,1,0,
Bayar Reimburse BBM ke Karyawan,PAYMENT,OPERATING,SIMPLE,Pembayaran reimburse BBM ke karyawan,false,false,true,1,0,
Bayar BBM Langsung,EXPENSE,OPERATING,SIMPLE,Pembayaran BBM langsung dari kas/bank perusahaan,false,false,true,1,0,
Saldo Awal Tahun,ADJUSTMENT,OPERATING,DETAILED,"Input saldo awal neraca untuk memulai tahun buku baru. Debit: Aset (1.x). Credit: Liabilitas (2.x) dan Ekuitas (3.x). Laba tahun lalu masuk ke Laba Ditahan.",false,false,true,1,0,
